"district","rooms","price_€","area_sq_m","distance_to_sea_m","avg_pr_per_dist_rooms","price_deviation"
Kargıcak,"1+1",103000.0,48.0,70.0,149085.94,-46085.94
Alanya(Center),"2+1",157500.0,109.0,1300.0,203551.52,-46051.51999999999
Alanya(Center),"2+1",157500.0,100.0,1000.0,203551.52,-46051.51999999999
Alanya(Center),"2+1",157500.0,110.0,750.0,203551.52,-46051.51999999999
Avsallar,"2+1",86000.0,75.0,1400.0,131909.09,-45909.09
Avsallar,"1+1",48500.0,48.0,1500.0,94188.54,-45688.53999999999
Mahmutlar,"1+1",70000.0,47.0,600.0,115592.19,-45592.19
Mahmutlar,"1+1",70000.0,50.0,250.0,115592.19,-45592.19
Mahmutlar,"1+1",70000.0,54.0,1000.0,115592.19,-45592.19
Alanya(Center),"2+1",158000.0,75.0,2000.0,203551.52,-45551.51999999999
Mahmutlar,"2+1",119000.0,120.0,300.0,164145.71,-45145.70999999999
Tosmur,"2+1",121000.0,115.0,600.0,165903.23,-44903.23000000001
Kestel,"2+1",166000.0,115.0,200.0,210711.54,-44711.54000000001
Oba,"1+1",88000.0,50.0,2150.0,132396.36,-44396.359999999986
Alanya(Center),"1+1",124000.0,60.0,600.0,168298.97,-44298.97
Alanya(Center),"1+1",124000.0,50.0,200.0,168298.97,-44298.97
Konaklı,"2+1",143000.0,115.0,1200.0,187250.0,-44250.0
Oba,"2+1",142000.0,120.0,850.0,186147.54,-44147.54000000001
Oba,"2+1",142000.0,90.0,1200.0,186147.54,-44147.54000000001
Mahmutlar,"2+1",120000.0,80.0,500.0,164145.71,-44145.70999999999
Mahmutlar,"1+1",71500.0,50.0,1200.0,115592.19,-44092.19
Konaklı,"1+1",109000.0,58.0,300.0,153062.5,-44062.5
Kestel,"1+1",102000.0,60.0,150.0,145889.58,-43889.57999999999
Kestel,"1+1",102000.0,55.0,400.0,145889.58,-43889.57999999999
Kestel,"2+1",167000.0,120.0,150.0,210711.54,-43711.54000000001
Avsallar,"1+1",50500.0,45.0,1150.0,94188.54,-43688.53999999999
Mahmutlar,"1+1",72000.0,57.0,800.0,115592.19,-43592.19
Mahmutlar,"1+1",72000.0,57.0,800.0,115592.19,-43592.19
Mahmutlar,"1+1",72000.0,48.0,750.0,115592.19,-43592.19
Mahmutlar,"1+1",72000.0,55.0,1300.0,115592.19,-43592.19
